job_id,job_title,company,company_size,location,experience_level,work_arrangement,salary,required_skills,posting_date,date_posted
JOB_0014,Data Scientist,Big Data Co,Medium (201-1000),"Dallas, TX",Entry Level (0-2 years),Hybrid,75234.0,"R, PyTorch, Python",2025-01-30,01/30/2025
JOB_0015,Data Scientist,Insight Technologies,Small (51-200),"San Diego, CA",Senior Level (6-10 years),Hybrid,130117.0,"R, Python, AWS, Pandas, Statistics, Jupyter, Azure, TensorFlow",2024-10-02,10/02/2024
JOB_0016,Data Engineer,Information Systems Inc,Small (51-200),"Chicago, IL",Mid Level (3-5 years),Hybrid,119252.0,"PostgreSQL, SQL, Python",2025-05-07,2025-05-07
JOB_0017,Data Scientist,Data Driven Co,Small (51-200),"Miami, FL",Senior Level (6-10 years),Remote,263699.0,"Machine Learning, Pandas, Jupyter, Python, R, SQL, Deep Learning",2024-12-10,12/10/2024
JOB_0018,Data Engineer,Smart Analytics,Large (1001+),"Phoenix, AZ",Mid Level (3-5 years),Hybrid,114581.0,"SQL, Hadoop, Docker, Scala, Linux",2024-11-01,11/01/2024
JOB_0019,Data Scientist,Data Driven Co,Large (1001+),"Chicago, IL",Mid Level (3-5 years),Hybrid,127422.0,"Machine Learning, R, Python, Statistics, Scikit-learn",2025-07-07,07/07/2025
JOB_0020,Data Scientist,Analytics Pro,Medium (201-1000),"Chicago, IL",Mid Level (3-5 years),Remote,100161.0,"Python, Docker, Machine Learning, Power BI, Scikit-learn, Pandas, R",2025-06-06,2025-06-06
JOB_0021,Data Analyst,Cloud Data Systems,Startup (1-50),"San Diego, CA",Entry Level (0-2 years),Remote,56847.0,"Excel, Tableau, R",2025-01-25,01/25/2025
JOB_0022,Data Scientist,Analytics Partners,Large (1001+),"Chicago, IL",Mid Level (3-5 years),Remote,286374.0,"NumPy, R, Python, Statistics, Deep Learning, Machine Learning",2025-04-08,04/08/2025
JOB_0023,Data Analyst,Analytics Hub,Startup (1-50),"Los Angeles, CA",Lead Level (10+ years),Hybrid,25559.0,"SQL, Tableau, Power BI, Excel, DAX, Python, Looker, Google Analytics",2025-07-09,07/09/2025
JOB_0024,Data Scientist,AI Innovations,Small (51-200),"San Francisco, CA",Mid Level (3-5 years),Hybrid,146296.0,"Deep Learning, Pandas, SQL, Python",2025-03-26,03/26/2025
JOB_0025,Data Scientist,Analytics Hub Inc.,Startup (1-50),Dallas TX,Entry Level 0-2 years,Remote,,"Docker, Statistics, R, TensorFlow, Git, Pandas, Deep Learning",2025-07-08,07/08/2025
JOB_0026,Data Scientist,Digital Insights,Large (1001+),"Phoenix, AZ",Mid Level (3-5 years),On-site,122565.0,"Python, Docker, Statistics, R",2025-04-12,04/12/2025
JOB_0027,Data Analyst,Business Intelligence Ltd,Large (1001+),"New York, NY",Lead Level (10+ years),On-site,172845.0,"SQL, R, Power BI, Tableau, Python, Git, Matplotlib, DAX",2025-03-13,03/13/2025
JOB_0028,Data Analyst,AI Innovations,Startup (1-50),"Chicago, IL",Senior Level (6-10 years),Hybrid,114019.0,"R, SQL, Excel",2025-05-13,05/13/2025
JOB_0029,Data Scientist,Data Solutions Inc,Startup (1-50),"Denver, CO",Mid Level (3-5 years),Remote,78907.0,"Python, Tableau, R, Git, Statistics, Scikit-learn, Machine Learning",2024-09-13,09/13/2024
JOB_0030,Data Analyst,Analytics Partners,Startup (1-50),"San Francisco, CA",Mid Level (3-5 years),Hybrid,108081.0,"Python, SQL, Power BI, Tableau, Excel, Looker",2024-09-19,09/19/2024
JOB_0031,Data Engineer,AI Innovations,Medium (201-1000),"Miami, FL",Senior Level (6-10 years),Remote,121154.0,"MongoDB, SQL, Python, Redis, Apache Spark, Linux",2024-12-22,12/22/2024
JOB_0032,Data Engineer,Tech Corp,Large (1001+),"Austin, TX",Entry Level (0-2 years),Hybrid,68801.0,"ETL, SQL, NoSQL",2025-05-24,05/24/2025
JOB_0033,Data Scientist,Analytics Pro,Small (51-200),"Seattle, WA",Senior Level (6-10 years),On-site,166633.0,"Python, SQL, Azure, TensorFlow",2025-01-01,01/01/2025
JOB_0034,Data Analyst,DataFlow Systems,Medium (201-1000),"Washington, DC",Entry Level (0-2 years),Hybrid,61332.0,"SQL, R, SPSS, Power BI",2024-10-01,10/01/2024
JOB_0035,Data Engineer,Business Intelligence Ltd,Medium (201-1000),"Atlanta, GA",Mid Level (3-5 years),Hybrid,102471.0,"Kubernetes, Docker, SQL, Azure, NoSQL, Redis, Hadoop, Apache Spark",2024-11-24,11/24/2024
JOB_0036,Data Engineer,Business Intelligence Ltd,Startup (1-50),"Boston, MA",Lead Level (10+ years),Remote,255904.0,"Airflow, Docker, Azure, PostgreSQL, SQL, Python",2025-06-29,2025-06-29
JOB_0037,Data Analyst,Business Intelligence Ltd,Small (51-200),"Phoenix, AZ",Mid Level (3-5 years),Hybrid,78028.0,"SQL, Python, R, PowerQuery, Tableau, Excel, Statistics",2025-03-23,03/23/2025
JOB_0038,Data Engineer,DataFlow Systems,Startup (1-50),"Miami, FL",Mid Level (3-5 years),On-site,89705.0,"Python, Kafka, Hadoop, Airflow, ETL, Java, Kubernetes",2025-06-03,2025-06-03
JOB_0039,Data Scientist,Information Systems Inc,Small (51-200),"Austin, TX",Entry Level (0-2 years),Hybrid,62736.0,"Scikit-learn, Python, Machine Learning, GCP, NumPy, TensorFlow, SQL, R",2024-12-14,12/14/2024
JOB_0040,Data Scientist,Information Analytics,Small (51-200),"Dallas, TX",Lead Level (10+ years),Remote,227528.0,"Python, SQL, TensorFlow, Deep Learning",2024-10-31,10/31/2024
JOB_0041,Data Scientist,Intelligence Solutions,Small (51-200),"Miami, FL",Senior Level (6-10 years),On-site,105168.0,"GCP, PyTorch, SQL, Statistics, R, Python, Machine Learning, Deep Learning",2024-10-29,2024-10-29
JOB_0042,Data Scientist,AI Innovations,Large (1001+),"denver, co",Mid Level (3-5 years),On-site,,"Jupyter, TensorFlow, Machine Learning, Python",2025-01-12,01/12/2025
JOB_0043,Data Analyst,Analytics Pro,Medium (201-1000),"Austin, TX",Senior Level (6-10 years),On-site,91193.0,"Python, SQL, Excel, R, Tableau, Pandas, Git",2025-07-03,07/03/2025
JOB_0044,Data Analyst,Big Data Co,Medium (201-1000),"Austin, TX",Entry Level (0-2 years),Remote,41253.0,"Seaborn, Tableau, SQL, Excel, Power BI",2025-06-02,06/02/2025
JOB_0045,Data Engineer,Intelligence Solutions,Startup (1-50),"San Diego, CA",Senior Level (6-10 years),On-site,,"Hadoop, SQL, Airflow, Apache Spark",2025-05-31,05/31/2025
JOB_0046,Data Analyst,Information Systems Inc,Large (1001+),"Atlanta, GA",Mid Level (3-5 years),Remote,70572.0,"Google Analytics, Excel, PowerQuery, SQL, Python",2025-07-15,07/15/2025
JOB_0047,Data Scientist,Insight Technologies,Medium (201-1000),"Miami, FL",Senior Level (6-10 years),Hybrid,143743.0,"Python, Deep Learning, R, AWS, Machine Learning",2025-03-06,03/06/2025
JOB_0048,Data Engineer,Data Science Corp,Small (51-200),"Chicago, IL",Lead Level (10+ years),Hybrid,181225.0,"SQL, Python, Docker, Kafka, NoSQL",2025-05-27,2025-05-27
JOB_0049,Data Analyst,Intelligence Solutions,Medium (201-1000),"Boston, MA",Mid Level (3-5 years),On-site,101776.0,"Pandas, SQL, Statistics, Matplotlib, SPSS, Python",2025-03-23,03/23/2025
JOB_0050,Data Scientist,Analytics Pro,Medium (201-1000),"Miami, FL",Mid Level (3-5 years),Hybrid,298453.0,"Scikit-learn, R, AWS, Jupyter, Machine Learning, PyTorch, Python, GCP",2025-07-14,07/14/2025
JOB_0051,Data Analyst,AI Innovations,Small (51-200),"Boston, MA",Mid Level (3-5 years),Remote,88637.0,"Matplotlib, Excel, PowerQuery, SQL",2024-09-01,09/01/2024
JOB_0052,Data Engineer,Analytics Partners,Small (51-200),"Denver, CO",Lead Level (10+ years),Hybrid,192799.0,"Python, SQL, Git, Hadoop, Kafka, Kubernetes",2025-07-31,07/31/2025
JOB_0053,Data Scientist,Big Data Co,Large (1001+),"San Diego, CA",Entry Level (0-2 years),Remote,89944.0,"R, Deep Learning, PyTorch, Scikit-learn, Python, Machine Learning, NumPy, TensorFlow",2024-11-07,11/07/2024
JOB_0054,Data Engineer,Analytics Hub,Small (51-200),"Miami, FL",Entry Level (0-2 years),On-site,100629.0,"SQL, Python, AWS, Kafka, ETL, Apache Spark, MongoDB",2025-07-16,07/16/2025
JOB_0055,Data Analyst,Information Analytics,Large (1001+),"Miami, FL",Lead Level (10+ years),Hybrid,128736.0,"SQL, SPSS, Excel, Tableau",2025-03-25,03/25/2025
JOB_0056,Data Engineer,Business Intelligence Ltd,Large (1001+),"Phoenix, AZ",Mid Level (3-5 years),Hybrid,24681.0,"Git, Scala, Kubernetes, SQL, Python",2024-12-09,12/09/2024
JOB_0057,Data Engineer,DataFlow Systems,Startup (1-50),"Austin, TX",Senior Level (6-10 years),Remote,154205.0,"Hadoop, Apache Spark, MongoDB, Python",2024-10-25,10/25/2024
JOB_0058,Data Analyst,Intelligence Solutions,Medium (201-1000),"San Francisco, CA",Lead Level (10+ years),Hybrid,112161.0,"SQL, Python, Tableau, Seaborn, Pandas, Looker",2025-04-04,04/04/2025
JOB_0059,Data Scientist,Analytics Partners,Large (1001+),"Miami, FL",Entry Level (0-2 years),On-site,75569.0,"R, Jupyter, Python, GCP, Tableau",2024-08-12,08/12/2024
JOB_0060,Data Scientist,DataFlow Systems,Small (51-200),"Dallas, TX",Lead Level (10+ years),On-site,169125.0,"Git, SQL, Power BI, Python, GCP",2024-11-29,11/29/2024
JOB_0061,Data Analyst,Digital Insights,Large (1001+),"Portland, OR",Lead Level (10+ years),Remote,81767.0,"Tableau, Power BI, Python, R, PowerQuery, SQL, Excel",2025-06-23,06/23/2025
JOB_0062,Data Engineer,Analytics Pro,Large (1001+),"Portland, OR",Entry Level (0-2 years),Remote,67295.0,"PostgreSQL, Apache Spark, Kafka, Python",2025-04-02,04/02/2025
JOB_0063,Data Scientist,Analytics First,Large (1001+),"Denver, CO",Senior Level (6-10 years),On-site,101735.0,"Machine Learning, R, SQL, Python, Tableau",2025-03-12,03/12/2025
JOB_0064,Data Engineer,Cloud Data Systems,Startup (1-50),"New York, NY",Senior Level (6-10 years),Hybrid,162411.0,"Docker, Hadoop, SQL",2024-08-29,2024-08-29
JOB_0065,Data Engineer,Smart Analytics,Large (1001+),"Seattle, WA",Mid Level (3-5 years),Hybrid,124569.0,"Docker, Python, MongoDB, GCP, Git, Kubernetes, Kafka",2024-10-06,10/06/2024
JOB_0066,Data Analyst,Information Analytics,Startup (1-50),"austin, tx",Mid Level (3-5 years),Remote,,"DAX, Seaborn, SQL",2025-01-15,01/15/2025
JOB_0067,Data Scientist,Data Science Corp,Small (51-200),"Portland, OR",Lead Level (10+ years),Remote,220864.0,"R, Pandas, Power BI, Python, Statistics, Tableau, NumPy, Docker",2025-06-08,06/08/2025
JOB_0068,Data Analyst,Information Analytics,Startup (1-50),"Phoenix, AZ",Senior Level (6-10 years),Hybrid,99913.0,"Excel, SQL, Seaborn, Matplotlib, SPSS",2024-08-30,08/30/2024
JOB_0069,Data Engineer,Tech Corp,Large (1001+),"Atlanta, GA",Senior Level (6-10 years),On-site,151472.0,"Hadoop, AWS, Git, ETL, Python, Apache Spark",2024-10-02,10/02/2024
JOB_0070,Data Scientist,Intelligence Solutions,Small (51-200),"San Diego, CA",Mid Level (3-5 years),Hybrid,105400.0,"GCP, Statistics, Python, Deep Learning, R, PyTorch, Git, AWS",2025-05-03,05/03/2025
JOB_0071,Data Analyst,Analytics Hub,Large (1001+),"Phoenix, AZ",Lead Level (10+ years),Hybrid,101122.0,"R, Git, Excel, SQL, Seaborn",2025-06-08,06/08/2025
JOB_0072,Data Analyst,Analytics Hub,Small (51-200),"San Francisco, CA",Senior Level (6-10 years),On-site,134174.0,"Power BI, SQL, Excel, R, Statistics, Google Analytics, Tableau",2025-05-27,05/27/2025
JOB_0073,Data Analyst,Data Experts Ltd,Small (51-200),"Austin, TX",Mid Level (3-5 years),On-site,68327.0,"Pandas, Excel, Tableau, Seaborn, Google Analytics",2024-12-19,12/19/2024
JOB_0074,Data Scientist,Insight Technologies,Small (51-200),"Boston, MA",Entry Level (0-2 years),Remote,117670.0,"AWS, Machine Learning, Python, Tableau, R, Statistics, Deep Learning, SQL",2024-12-10,12/10/2024
JOB_0075,Data Scientist,Data Experts Ltd,Large (1001+),"San Diego, CA",Lead Level (10+ years),Remote,141045.0,"Python, Statistics, Machine Learning, AWS, Deep Learning",2024-09-25,09/25/2024
JOB_0076,Data Analyst,Data Experts Ltd,Medium (201-1000),"Portland, OR",Senior Level (6-10 years),On-site,88056.0,"SQL, Excel, Tableau, R, Power BI",2025-05-17,05/17/2025
JOB_0077,Data Analyst,Big Data Co,Small (51-200),"Boston, MA",Mid Level (3-5 years),On-site,92617.0,"Power BI, SQL, Pandas, Tableau, Git, DAX, Excel, Seaborn",2024-10-09,10/09/2024
JOB_0078,Data Analyst,Data Experts Ltd,Medium (201-1000),"Chicago, IL",Mid Level (3-5 years),Hybrid,89111.0,"SQL, Excel, Python, Tableau, PowerQuery, R, Power BI",2025-06-06,06/06/2025
JOB_0079,Data Analyst,Cloud Data Systems,Medium (201-1000),"Chicago, IL",Senior Level (6-10 years),Remote,111400.0,"PowerQuery, Python, SQL",2025-01-10,01/10/2025
JOB_0080,Data Analyst,Smart Analytics,Large (1001+),"New York, NY",Senior Level (6-10 years),Remote,99884.0,"Python, SQL, Excel, Power BI, R, Google Analytics, Matplotlib",2024-08-15,08/15/2024
JOB_0081,Data Analyst,Business Intelligence Ltd,Large (1001+),"Seattle, WA",Entry Level (0-2 years),Remote,20878.0,"Pandas, Python, SQL, R, Statistics, Tableau",2024-09-11,09/11/2024
JOB_0082,Data Scientist,Analytics Pro,Small (51-200),"Phoenix, AZ",Senior Level (6-10 years),Remote,170471.0,"R, Deep Learning, SQL, Power BI, TensorFlow, Python",2025-05-21,05/21/2025
JOB_0083,Data Scientist,Analytics Hub,Large (1001+),"Phoenix, AZ",Lead Level (10+ years),On-site,152026.0,"Python, R, Azure, Machine Learning, TensorFlow, Deep Learning",2025-06-06,06/06/2025
JOB_0084,Data Engineer,AI Innovations,Small (51-200),"San Diego, CA",Entry Level (0-2 years),On-site,74292.0,"Python, SQL, Linux",2025-07-13,07/13/2025
JOB_0085,Data Engineer,Intelligence Solutions,Large (1001+),"Seattle, WA",Entry Level (0-2 years),Hybrid,,"GCP, Python, Airflow, Redis, Hadoop, Docker",2025-06-09,06/09/2025
JOB_0086,Data Scientist,Analytics Pro,Small (51-200),"Boston, MA",Lead Level (10+ years),On-site,180656.0,"Scikit-learn, Python, R, Machine Learning, Pandas, Deep Learning, SQL",2025-06-25,06/25/2025
JOB_0087,Data Analyst,Business Intelligence Ltd,Small (51-200),"Portland, OR",Mid Level (3-5 years),Remote,70159.0,"Python, SQL, Excel, R",2024-09-08,09/08/2024
JOB_0088,Data Engineer,Analytics Hub,Startup (1-50),"Miami, FL",Senior Level (6-10 years),On-site,156757.0,"SQL, Azure, Python, Docker, AWS",2025-07-27,07/27/2025
JOB_0089,Data Analyst,Analytics Pro,Startup (1-50),"denver, co",Lead Level (10+ years),On-site,,"Python, Excel, DAX, Matplotlib, Looker, SQL, Seaborn",2025-01-21,01/21/2025
JOB_0090,Data Engineer,Business Intelligence Ltd,Startup (1-50),"Portland, OR",Entry Level (0-2 years),Remote,106697.0,"Python, Kubernetes, Hadoop, ETL, Azure, SQL, Apache Spark",2025-04-06,04/06/2025
JOB_0091,Data Engineer,Data Experts Ltd,Startup (1-50),"Washington, DC",Lead Level (10+ years),On-site,184487.0,"Airflow, Hadoop, SQL, NoSQL, GCP, Apache Spark",2025-02-03,02/03/2025
JOB_0092,Data Scientist,Intelligence Solutions,Large (1001+),"Seattle, WA",Senior Level (6-10 years),On-site,215835.0,"Machine Learning, R, PyTorch, Python, Docker, Deep Learning",2025-07-14,2025-07-14
JOB_0093,Data Analyst,Business Intelligence Ltd,Medium (201-1000),"San Francisco, CA",Senior Level (6-10 years),Remote,84650.0,"PowerQuery, Tableau, SQL, DAX, Excel, Seaborn, Pandas",2025-03-03,03/03/2025
JOB_0094,Data Analyst,AI Innovations,Medium (201-1000),"Los Angeles, CA",Entry Level (0-2 years),Hybrid,72969.0,"PowerQuery, Pandas, SQL, Excel, Statistics, R, Git, Google Analytics",2025-04-21,04/21/2025
JOB_0095,Data Scientist,Data Driven Co,Large (1001+),"Atlanta, GA",Mid Level (3-5 years),Hybrid,73783.0,"Pandas, Python, NumPy",2025-04-14,04/14/2025
JOB_0096,Data Scientist,Data Driven Co,Startup (1-50),"Chicago, IL",Mid Level (3-5 years),Hybrid,99451.0,"R, Scikit-learn, Python",2025-03-05,03/05/2025
JOB_0097,Data Scientist,Smart Analytics,Large (1001+),"Denver, CO",Entry Level (0-2 years),Hybrid,102229.0,"TensorFlow, Statistics, SQL, Python, R, Machine Learning, GCP",2025-01-05,01/05/2025
JOB_0098,Data Analyst,Analytics Hub,Small (51-200),"Denver, CO",Mid Level (3-5 years),On-site,83308.0,"Excel, Python, Google Analytics, SQL, R, Tableau, DAX",2024-11-14,11/14/2024
JOB_0099,Data Engineer,Intelligence Solutions,Medium (201-1000),"San Francisco, CA",Senior Level (6-10 years),Hybrid,172272.0,"Hadoop, Docker, Redis",2024-12-23,12/23/2024
JOB_0100,Data Analyst,Smart Analytics,Large (1001+),"Washington, DC",Lead Level (10+ years),Hybrid,131573.0,"SQL, R, Excel, Statistics, Looker",2025-04-13,04/13/2025
JOB_0101,Data Engineer,AI Innovations,Small (51-200),"Denver, CO",Senior Level (6-10 years),Hybrid,,"Apache Spark, Python, Scala, GCP",2025-02-21,02/21/2025
JOB_0102,Data Scientist,Data Science Corp,Small (51-200),"San Diego, CA",Lead Level (10+ years),On-site,177836.0,"AWS, Jupyter, SQL, Statistics",2024-08-27,08/27/2024
JOB_0103,Data Scientist,Big Data Co,Large (1001+),"San Francisco, CA",Lead Level (10+ years),Remote,24342.0,"Python, R, Pandas, TensorFlow, GCP, Statistics",2024-10-21,10/21/2024
JOB_0104,Data Scientist,Analytics Pro,Medium (201-1000),"San Diego, CA",Lead Level (10+ years),Hybrid,237060.0,"PyTorch, Machine Learning, Python, Deep Learning, Statistics, Azure",2025-05-09,05/09/2025
JOB_0105,Data Scientist,DataFlow Systems,Startup (1-50),"Phoenix, AZ",Lead Level (10+ years),Hybrid,194727.0,"SQL, Statistics, Python, Deep Learning",2024-09-13,09/13/2024
JOB_0106,Data Scientist,Intelligence Solutions,Startup (1-50),"Chicago, IL",Entry Level (0-2 years),Hybrid,85076.0,"GCP, Python, R",2025-08-04,08/04/2025
JOB_0107,Data Scientist,Analytics First,Startup (1-50),"New York, NY",Entry Level (0-2 years),On-site,126450.0,"Power BI, Machine Learning, Statistics, Python, PyTorch",2025-02-08,02/08/2025
JOB_0108,Data Scientist,Digital Insights,Small (51-200),"Washington, DC",Mid Level (3-5 years),Remote,158226.0,"Docker, Python, Machine Learning, SQL, R, Jupyter",2025-06-17,06/17/2025
JOB_0109,Data Analyst,Cloud Data Systems,Large (1001+),"Washington, DC",Mid Level (3-5 years),Hybrid,71733.0,"Python, Excel, R, SQL, Google Analytics, Looker",2024-12-17,12/17/2024
JOB_0110,Data Scientist,DataFlow Systems,Small (51-200),"Denver, CO",Senior Level (6-10 years),Remote,168014.0,"Python, Deep Learning, R, NumPy, Pandas",2025-03-23,03/23/2025
JOB_0111,Data Scientist,Analytics Hub,Medium (201-1000),"San Diego, CA",Senior Level (6-10 years),Remote,104979.0,"Python, Deep Learning, Pandas, R, PyTorch, Machine Learning",2025-02-21,02/21/2025
JOB_0112,Data Scientist,Data Driven Co,Startup (1-50),"Washington, DC",Senior Level (6-10 years),Hybrid,101161.0,"Python, TensorFlow, Jupyter, NumPy, R",2025-02-27,02/27/2025
JOB_0113,Data Analyst,Information Analytics,Large (1001+),"San Diego, CA",Entry Level (0-2 years),On-site,66277.0,"SQL, PowerQuery, Excel, Power BI, R, DAX, Seaborn",2024-12-04,12/04/2024
JOB_0114,Data Scientist,Smart Analytics,Startup (1-50),"Washington, DC",Senior Level (6-10 years),Hybrid,140592.0,"Python, R, Statistics",2025-07-05,2025-07-05
JOB_0115,Data Scientist,Analytics Pro,Medium (201-1000),"Austin, TX",Mid Level (3-5 years),On-site,96318.0,"Statistics, R, SQL, Machine Learning",2025-03-09,03/09/2025
JOB_0116,Data Scientist,Digital Insights,Medium (201-1000),"Austin, TX",Senior Level (6-10 years),On-site,135396.0,"Azure, PyTorch, Python, Jupyter, Machine Learning, Git, Pandas, R",2025-01-07,01/07/2025
JOB_0117,Data Scientist,Cloud Data Systems,Large (1001+),"San Francisco, CA",Mid Level (3-5 years),Hybrid,194636.0,"SQL, Statistics, Python",2025-02-12,02/12/2025
JOB_0118,Data Scientist,Information Systems Inc,Medium (201-1000),"San Francisco, CA",Lead Level (10+ years),Hybrid,242979.0,"NumPy, Tableau, SQL, Python, Docker, Deep Learning, Machine Learning, Scikit-learn",2025-02-20,02/20/2025
JOB_0119,Data Engineer,Information Analytics,Small (51-200),"New York, NY",Senior Level (6-10 years),Hybrid,190852.0,"Python, PostgreSQL, NoSQL, Kafka, Airflow, SQL, Git, Hadoop",2024-09-10,09/10/2024
JOB_0120,Data Scientist,Smart Analytics,Startup (1-50),"Los Angeles, CA",Entry Level (0-2 years),Remote,270457.0,"SQL, Python, PyTorch, Statistics, R, Machine Learning",2025-01-11,01/11/2025
JOB_0121,Data Scientist,DataFlow Systems,Large (1001+),"Denver, CO",Senior Level (6-10 years),Hybrid,264139.0,"R, TensorFlow, SQL, Machine Learning, Deep Learning, GCP",2024-10-27,10/27/2024
JOB_0122,Data Analyst,Information Systems Inc,Small (51-200),"Boston, MA",Entry Level (0-2 years),On-site,289873.0,"SQL, R, Excel, Power BI",2025-03-24,03/24/2025
JOB_0123,Data Analyst,Data Solutions Inc,Large (1001+),"Miami, FL",Senior Level (6-10 years),On-site,227801.0,"Excel, Pandas, SQL",2024-11-14,11/14/2024
JOB_0124,Data Scientist,Data Solutions Inc,Medium (201-1000),"Washington, DC",Entry Level (0-2 years),Remote,29080.0,"TensorFlow, Machine Learning, Deep Learning, Python, Pandas, NumPy, R",2024-10-12,10/12/2024
JOB_0125,Data Analyst,Analytics First,Small (51-200),"Chicago, IL",Mid Level (3-5 years),Hybrid,59482.0,"Excel, SQL, PowerQuery, Google Analytics, Tableau",2024-08-10,08/10/2024
JOB_0126,Data Scientist,Big Data Co,Startup (1-50),"Phoenix, AZ",Mid Level (3-5 years),Remote,101186.0,"SQL, Jupyter, PyTorch, Pandas, Deep Learning",2024-08-16,2024-08-16
JOB_0127,Data Analyst,Smart Analytics,Large (1001+),"Boston, MA",Entry Level (0-2 years),Hybrid,50165.0,"Seaborn, SQL, Python, SPSS, Google Analytics, Power BI, DAX, Excel",2024-10-06,10/06/2024
JOB_0128,Data Analyst,Analytics Hub,Small (51-200),"Atlanta, GA",Entry Level (0-2 years),Hybrid,65664.0,"PowerQuery, SQL, Power BI, Excel, DAX, Looker, Google Analytics, Python",2024-08-31,08/31/2024
JOB_0129,Data Engineer,Tech Corp,Startup (1-50),"Boston, MA",Lead Level (10+ years),On-site,237128.0,"ETL, SQL, GCP, Python, Kafka, Apache Spark",2025-03-02,03/02/2025
JOB_0130,Data Scientist,Analytics Pro,Medium (201-1000),"Denver, CO",Entry Level (0-2 years),Hybrid,64270.0,"TensorFlow, R, Python",2024-10-23,10/23/2024
JOB_0131,Data Scientist,Data Science Corp,Medium (201-1000),"Atlanta, GA",Senior Level (6-10 years),On-site,291983.0,"SQL, Scikit-learn, R, Statistics, Git, Python, Machine Learning",2025-04-24,04/24/2025
JOB_0132,Data Engineer,Intelligence Solutions,Large (1001+),"Portland, OR",Mid Level (3-5 years),Remote,134225.0,"Python, NoSQL, Hadoop, Redis, Azure",2025-03-08,03/08/2025
JOB_0133,Data Engineer,Intelligence Solutions,Medium (201-1000),"San Francisco, CA",Senior Level (6-10 years),Hybrid,155206.0,"SQL, AWS, Apache Spark, Kafka, MongoDB",2024-12-17,12/17/2024
JOB_0134,Data Engineer,Analytics Pro,Large (1001+),"San Francisco, CA",Entry Level (0-2 years),Remote,29201.0,"AWS, Apache Spark, Kubernetes, Python",2025-02-15,02/15/2025
JOB_0135,Data Scientist,Intelligence Solutions,Medium (201-1000),"Portland, OR",Entry Level (0-2 years),Hybrid,59371.0,"R, Python, Power BI, Machine Learning, TensorFlow, NumPy, Statistics, GCP",2025-03-13,03/13/2025
JOB_0136,Data Engineer,Analytics Partners,Small (51-200),"Austin, TX",Entry Level (0-2 years),Remote,78696.0,"Python, Apache Spark, NoSQL, Git, Kafka, SQL",2025-07-11,07/11/2025
JOB_0137,Data Engineer,Big Data Co,Medium (201-1000),"Atlanta, GA",Senior Level (6-10 years),Hybrid,177526.0,"Python, Git, Airflow, Kafka, Hadoop, SQL",2024-12-02,12/02/2024
